	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1101:10000:7971;size=1;	0	0	0	14	3	6	0	28	21	1	0	33	0	1	0	0
M02144:85:000000000-B48VY:1:1101:10008:20118;size=1;	0	0	0	6	27	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:11713:10291;size=1;	1	0	0	0	1	0	0	919	685	0	1	0	49	0	0	0
M02144:85:000000000-B48VY:1:1101:12401:11672;size=1;	0	0	0	0	0	0	0	66	62	0	0	0	4	1	0	0
M02144:85:000000000-B48VY:1:1101:12700:10602;size=1;	0	0	0	12	8	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:13407:15988;size=1;	0	0	0	0	0	0	0	295	226	0	0	1	12	8	0	0
M02144:85:000000000-B48VY:1:1101:15520:22461;size=1;	0	0	0	17	13	219	160	20	5	58	370	9026	1	2	33	2
M02144:85:000000000-B48VY:1:1101:15526:10882;size=1;	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0
M02144:85:000000000-B48VY:1:1101:16823:4615;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:16837:2619;size=1;	0	0	0	0	0	34	12	5	10	0	0	0	2	1	0	0
M02144:85:000000000-B48VY:1:1101:17271:18872;size=1;	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17354:13527;size=1;	0	0	0	0	0	0	0	85	8	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17430:7612;size=1;	0	0	0	0	5	0	0	1	0	61	15	25	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17639:6281;size=1;	0	0	0	0	0	0	1	0	0	0	1	2	19	401	0	0
M02144:85:000000000-B48VY:1:1101:17940:5134;size=1;	0	0	0	71	25	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:18105:11283;size=1;	0	0	0	40	50	0	0	43	14	1	0	1	178	195	0	0
M02144:85:000000000-B48VY:1:1101:18127:18833;size=1;	0	0	0	27	44	0	0	1	0	1	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1101:19230:14092;size=1;	0	0	0	529	237	2	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:19467:1545;size=1;	0	0	0	0	1	0	0	37	15	0	0	0	104	29	0	0
M02144:85:000000000-B48VY:1:1101:19740:22528;size=1;	0	0	0	0	0	0	0	0	0	9	47	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:20218:18162;size=1;	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1101:20403:11841;size=1;	0	0	0	0	0	0	0	27	14	0	0	1	149	20	0	0
M02144:85:000000000-B48VY:1:1101:20473:13542;size=1;	0	0	0	17	17	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:20829:8639;size=1;	0	0	0	0	0	0	0	56	32	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1101:21327:20587;size=1;	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:21553:19719;size=1;	0	0	0	57	12	0	0	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1101:24643:16731;size=1;	0	0	0	1	0	2	0	1176	718	0	0	11	1998	9	0	0
M02144:85:000000000-B48VY:1:1101:24928:20942;size=2;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	222	0
M02144:85:000000000-B48VY:1:1101:27296:16469;size=1;	623	41	956	95	112	57913	34731	16	58	408	175	1713	27	19	16492	9
M02144:85:000000000-B48VY:1:1101:27347:17749;size=1;	0	0	0	6	11	23	25	0	0	0	0	2	1	0	0	0
M02144:85:000000000-B48VY:1:1101:27514:16899;size=1;	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:27908:15621;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	5	27	0	0
M02144:85:000000000-B48VY:1:1101:5538:12600;size=1;	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:5667:8299;size=1;	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:5720:12585;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
M02144:85:000000000-B48VY:1:1101:6826:20575;size=1;	0	0	0	15	28	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:6878:23031;size=1;	0	0	0	384	468	0	0	2	0	345	3	28	0	0	120	38
M02144:85:000000000-B48VY:1:1101:7620:15017;size=1;	0	0	0	0	0	0	0	219	159	0	0	1	291	3	0	0
M02144:85:000000000-B48VY:1:1101:8518:12554;size=1;	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:8607:19962;size=1;	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10469:18365;size=1;	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10606:21941;size=1;	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10813:2259;size=1;	0	0	0	0	0	0	0	0	0	46	30	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:11449:15310;size=1;	0	0	0	2	21	0	0	0	0	0	0	2	33	175	0	0
M02144:85:000000000-B48VY:1:1102:11687:9889;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:11965:20083;size=1;	0	0	0	2	0	0	0	0	0	163	1	3	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13142:13836;size=1;	0	0	0	203	110	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13169:20510;size=1;	0	0	0	0	0	0	0	0	0	45	4	3	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13610:19276;size=1;	0	0	0	0	0	0	0	274	160	0	0	0	254	2	0	0
M02144:85:000000000-B48VY:1:1102:13957:6425;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1102:14619:9986;size=1;	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:15096:14216;size=1;	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16005:5992;size=1;	0	0	0	107	128	0	0	0	0	2	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1102:16033:9690;size=1;	0	0	0	0	0	0	0	0	0	35	145	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16752:19377;size=1;	0	0	0	136	80	0	0	0	0	0	0	1	0	0	0	0
