	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1102:17002:5784;size=1;	0	0	0	0	1	0	0	39	5	0	0	1	364	5	0	0
M02144:85:000000000-B48VY:1:1102:17158:15477;size=5;	1	0	0	1	1	260	99	0	0	1	3	182	0	0	0	0
M02144:85:000000000-B48VY:1:1102:18070:12693;size=1;	0	0	0	0	0	0	0	33	22	0	0	0	27	1	0	0
M02144:85:000000000-B48VY:1:1102:18439:24448;size=1;	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1102:18787:10001;size=4;	148	6	0	0	0	0	0	0	0	0	9	0	0	0	283	0
M02144:85:000000000-B48VY:1:1102:19124:14272;size=1;	0	0	0	362	212	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:19409:22005;size=1;	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:19842:24264;size=1;	0	0	0	0	4	22	11	0	0	9	1	20	5	32	0	0
M02144:85:000000000-B48VY:1:1102:20049:5895;size=1;	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0
M02144:85:000000000-B48VY:1:1102:20144:23647;size=1;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20451:15170;size=1;	1172	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20594:2328;size=1;	0	0	0	0	4	0	0	0	0	2	0	3	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20914:8777;size=1;	0	0	0	58	7	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:21447:15036;size=1;	0	0	0	2	0	0	0	0	0	1	9	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:21638:7725;size=1;	0	0	0	0	0	33	24	0	0	7	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23009:13277;size=1;	0	0	0	28	15	0	0	0	0	15	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23581:11224;size=1;	0	0	1	4	0	77	70	34	34	0	0	45	34	441	0	0
M02144:85:000000000-B48VY:1:1102:23593:10151;size=1;	1	0	0	0	0	16	12	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23817:19708;size=1;	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23909:9249;size=1;	0	0	0	10	14	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23942:20185;size=1;	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:25856:4432;size=1;	0	0	0	10	6	0	0	7	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:26237:15114;size=1;	0	0	0	2	0	97	69	0	0	0	0	4	14	16	0	0
M02144:85:000000000-B48VY:1:1102:28188:17437;size=1;	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:28235:18071;size=1;	0	0	0	1	0	0	4	0	0	25	0	16	0	0	1	0
M02144:85:000000000-B48VY:1:1102:28993:13643;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	11	18	1	0
M02144:85:000000000-B48VY:1:1102:29071:9049;size=1;	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:29323:12174;size=1;	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:4612:11208;size=1;	0	0	0	0	0	0	1	2	0	0	0	0	2	24	0	0
M02144:85:000000000-B48VY:1:1102:5947:20518;size=1;	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:6101:9235;size=1;	9	2	2	1263	292	9	5	11	8	33708	85	12168	11	2	7	3
M02144:85:000000000-B48VY:1:1102:6480:11938;size=1;	0	0	0	0	0	0	0	3	0	0	0	0	68	10	0	0
M02144:85:000000000-B48VY:1:1102:6805:7636;size=1;	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:7216:20982;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1102:7432:3763;size=6;	0	0	0	0	0	0	0	1	0	0	0	0	221	7	0	0
M02144:85:000000000-B48VY:1:1102:7651:8952;size=1;	0	0	0	0	0	0	0	57	28	0	0	0	26	6	0	0
M02144:85:000000000-B48VY:1:1102:7672:5675;size=1;	0	0	0	0	0	0	0	21	9	0	0	0	4	0	0	0
M02144:85:000000000-B48VY:1:1102:8466:13292;size=1;	0	0	0	0	0	0	0	0	0	42	13	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:8599:12847;size=1;	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:9192:11043;size=1;	3	0	61	11	21	1856	2177	14	5	22	180	14330	50	205	3	1
M02144:85:000000000-B48VY:1:1102:9351:19898;size=1;	0	0	0	0	0	0	0	0	0	498	4	64	0	0	0	0
M02144:85:000000000-B48VY:1:1102:9721:8879;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0
M02144:85:000000000-B48VY:1:1102:9921:18678;size=1;	10	1	211	8	17	4	9	19076	19942	2	14	62	12087	2070	33	6
M02144:85:000000000-B48VY:1:1103:10308:10471;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	88	71	0	0
M02144:85:000000000-B48VY:1:1103:10410:2948;size=1;	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:10511:20966;size=1;	0	0	0	130	88	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:12045:18740;size=1;	0	0	0	0	0	0	0	88	42	0	0	1	114	0	0	0
M02144:85:000000000-B48VY:1:1103:12330:7654;size=1;	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:13537:19060;size=1;	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:13731:2488;size=1;	0	0	0	2	5	0	0	2	0	0	1	2	0	0	0	4
M02144:85:000000000-B48VY:1:1103:15529:14367;size=1;	0	0	0	0	0	0	0	87	45	0	0	0	2	1	0	0
M02144:85:000000000-B48VY:1:1103:15570:12853;size=1;	0	0	0	0	0	0	0	0	0	8	78	1	0	0	0	0
M02144:85:000000000-B48VY:1:1103:15592:14609;size=1;	1	0	0	0	0	0	0	1130	741	0	0	1	908	15	0	0
M02144:85:000000000-B48VY:1:1103:16595:13573;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	24	3	0	0
M02144:85:000000000-B48VY:1:1103:17107:9590;size=1;	0	0	0	0	0	36	39	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:17881:20480;size=1;	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:18964:9399;size=1;	0	0	0	0	0	0	0	127	39	0	0	1	111	0	0	0
M02144:85:000000000-B48VY:1:1103:19452:23796;size=1;	18	10	718	19	34	32	10	53422	57696	8	29	255	50275	8233	123	10
M02144:85:000000000-B48VY:1:1103:19475:24083;size=1;	0	0	0	0	0	0	0	0	0	85	1	7	0	0	0	0
M02144:85:000000000-B48VY:1:1103:19563:22348;size=1;	0	21	0	2	0	10	0	0	3	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:19612:10135;size=1;	0	0	0	0	0	0	0	4	6	0	0	0	10	1	0	0
M02144:85:000000000-B48VY:1:1103:19773:11192;size=1;	0	0	0	35	44	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:19838:16693;size=1;	0	0	0	13	2	5	4	21	22	0	0	65	1	1	0	0
M02144:85:000000000-B48VY:1:1103:19904:21237;size=1;	0	0	0	146	36	0	0	0	0	0	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:1103:20099:4656;size=1;	0	0	0	0	0	0	0	149	60	0	0	1	128	0	0	0
M02144:85:000000000-B48VY:1:1103:20153:12641;size=1;	0	0	0	8	39	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:20315:16185;size=1;	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
M02144:85:000000000-B48VY:1:1103:20371:10571;size=1;	0	0	0	0	0	0	0	0	0	14	25	10	0	0	0	0
M02144:85:000000000-B48VY:1:1103:21047:15788;size=1;	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:21056:6940;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:21084:19639;size=1;	0	0	0	0	0	0	0	2	1	0	0	0	28	109	0	0
M02144:85:000000000-B48VY:1:1103:21626:7131;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
M02144:85:000000000-B48VY:1:1103:22251:21060;size=1;	0	0	0	0	0	0	0	39	35	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1103:22555:17295;size=1;	0	0	0	0	0	0	0	22	8	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:22704:5124;size=1;	0	0	0	0	0	1	0	0	1	10	433	0	0	1	0	0
M02144:85:000000000-B48VY:1:1103:22766:13578;size=1;	0	0	0	50	76	0	0	0	0	0	0	0	0	0	0	2
M02144:85:000000000-B48VY:1:1103:23400:5138;size=1;	0	0	1	0	0	0	0	125	134	0	0	0	91	17	0	0
M02144:85:000000000-B48VY:1:1103:2377:9716;size=1;	1	3	1	13287	8157	8	0	4	4	405	25	46	6	6	2	1
M02144:85:000000000-B48VY:1:1103:23833:14838;size=1;	0	0	0	9	5	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:23877:16675;size=1;	0	0	0	118	84	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:24824:11327;size=1;	0	0	0	262	109	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:24860:17856;size=1;	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:24861:18916;size=1;	0	0	0	0	0	0	0	0	0	35	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1103:24906:21780;size=1;	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:26464:20368;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
M02144:85:000000000-B48VY:1:1103:26554:20531;size=1;	0	0	0	34	43	0	0	289	7	10	0	70	5	27	1	0
M02144:85:000000000-B48VY:1:1103:27077:11992;size=1;	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:27578:7186;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
M02144:85:000000000-B48VY:1:1103:28567:16974;size=1;	0	0	0	3	0	0	0	0	0	27	2	1	0	0	0	0
M02144:85:000000000-B48VY:1:1103:28817:9027;size=1;	0	0	0	3	2	6	1	2	0	0	0	12	0	0	13	0
M02144:85:000000000-B48VY:1:1103:5692:6295;size=1;	0	0	0	118	314	1	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:6017:15348;size=1;	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:6031:13880;size=1;	1	0	0	8	18	6	3	1	1	3725	3240	11688	3	2	5	1
M02144:85:000000000-B48VY:1:1103:8759:21591;size=1;	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1103:8928:10517;size=1;	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:10927:1868;size=1;	0	0	0	0	0	59	1	0	0	0	0	2	0	0	0	0
M02144:85:000000000-B48VY:1:1104:11633:19575;size=1;	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1104:11985:8306;size=1;	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:12356:21079;size=1;	0	0	0	0	0	0	0	137	89	0	0	0	3	1	0	0
M02144:85:000000000-B48VY:1:1104:12745:5703;size=1;	0	0	0	0	0	0	0	40	30	0	0	1	297	107	0	0
M02144:85:000000000-B48VY:1:1104:12768:10041;size=1;	0	0	0	0	0	0	0	0	0	2	19	0	0	0	1	0
M02144:85:000000000-B48VY:1:1104:12893:14509;size=1;	1	0	0	143	92	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:13543:16473;size=1;	0	0	0	0	0	0	0	0	0	40	0	24	0	0	0	0
M02144:85:000000000-B48VY:1:1104:13738:22403;size=4;	0	0	0	576	401	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:13931:22507;size=2;	0	0	0	115	22	0	0	0	0	7	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:14542:13948;size=1;	0	0	0	268	129	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:14703:7123;size=1;	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:14899:20789;size=1;	0	0	0	0	0	0	0	20	6	0	0	0	42	3	0	0
M02144:85:000000000-B48VY:1:1104:14975:8608;size=1;	0	0	0	260	176	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:15046:23966;size=1;	0	0	0	0	0	104	11	0	0	0	0	2	0	0	0	0
M02144:85:000000000-B48VY:1:1104:15287:16396;size=1;	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:15576:13904;size=1;	0	0	0	1	0	0	0	0	0	678	20	3	0	0	0	1
M02144:85:000000000-B48VY:1:1104:17139:9762;size=1;	0	0	0	0	0	16	2	0	0	0	0	10	0	0	0	0
M02144:85:000000000-B48VY:1:1104:17199:7537;size=1;	0	0	0	2	1	0	0	1	0	5	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:17246:22858;size=1;	0	0	0	0	0	0	0	12	5	0	0	0	18	0	0	0
M02144:85:000000000-B48VY:1:1104:18047:6542;size=1;	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:18278:10277;size=1;	0	0	0	583	159	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:18536:21492;size=1;	0	0	0	2	2	834	13	0	0	0	0	1	3	19	0	3
M02144:85:000000000-B48VY:1:1104:18955:13683;size=1;	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:18991:12739;size=1;	0	0	0	136	74	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:19905:7162;size=1;	1	0	0	0	0	0	0	0	0	0	0	0	27	15	0	0
M02144:85:000000000-B48VY:1:1104:19914:22425;size=1;	0	1	0	0	0	1	0	0	0	810	4	20	0	0	0	0
M02144:85:000000000-B48VY:1:1104:20396:13346;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:20685:15998;size=1;	0	0	0	56	121	0	0	0	0	0	0	0	0	0	0	4
M02144:85:000000000-B48VY:1:1104:20851:12754;size=1;	0	0	0	202	115	0	0	0	1	0	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1104:21185:6659;size=1;	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1104:21208:22944;size=1;	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:21420:7331;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	14	131	0	0
M02144:85:000000000-B48VY:1:1104:21482:1593;size=1;	0	0	0	1	0	0	0	0	0	58	73	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:21737:22029;size=1;	0	0	0	0	0	0	0	6	7	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1104:21852:22610;size=1;	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:22710:12584;size=1;	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:22760:9788;size=1;	0	0	0	0	0	14	10	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:22783:17391;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:22803:19674;size=1;	0	0	0	3	0	0	0	1	1	0	0	2	1	9	0	0
M02144:85:000000000-B48VY:1:1104:22884:11621;size=1;	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
M02144:85:000000000-B48VY:1:1104:23164:15636;size=1;	0	4	30	1	1	0	0	2121	2197	0	2	4	2132	550	6	1
M02144:85:000000000-B48VY:1:1104:23438:24581;size=1;	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:23626:21423;size=1;	11	1	2	8	6	6	5	17337	11727	2	13	135	30115	759	5	5
M02144:85:000000000-B48VY:1:1104:23896:8353;size=1;	0	0	0	0	0	0	0	13	10	0	0	0	32	1	0	0
M02144:85:000000000-B48VY:1:1104:24070:14899;size=1;	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:24121:13706;size=1;	0	0	0	0	1	37	2	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:24359:16853;size=1;	0	0	0	0	0	0	0	2	0	0	0	0	57	1	0	0
M02144:85:000000000-B48VY:1:1104:25301:16173;size=2;	0	0	0	1458	810	0	1	0	0	0	1	2	0	1	0	0
M02144:85:000000000-B48VY:1:1104:25661:4444;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
M02144:85:000000000-B48VY:1:1104:26035:6047;size=1;	0	0	0	0	0	0	0	104	81	0	0	0	44	1	0	0
M02144:85:000000000-B48VY:1:1104:26129:16459;size=1;	0	0	0	0	0	0	0	53	35	0	1	1	34	16	0	2
M02144:85:000000000-B48VY:1:1104:26532:8005;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0
M02144:85:000000000-B48VY:1:1104:27991:12834;size=2;	0	0	0	0	0	0	1	0	0	58	90	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:3500:10642;size=1;	0	0	1	0	0	0	0	327	173	0	0	0	242	2	0	0
M02144:85:000000000-B48VY:1:1104:5403:7691;size=1;	0	0	0	58	62	0	0	0	0	0	0	0	0	0	0	5
M02144:85:000000000-B48VY:1:1104:6060:18265;size=1;	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:6208:20753;size=1;	0	0	0	0	0	0	0	3	0	1	0	0	9	68	0	0
M02144:85:000000000-B48VY:1:1104:6962:18310;size=1;	0	0	0	0	0	0	0	60	30	0	0	0	1	2	0	0
M02144:85:000000000-B48VY:1:1104:7608:11636;size=1;	0	0	0	1	0	207	272	0	1	0	0	15	1	1	1	0
M02144:85:000000000-B48VY:1:1104:7984:10420;size=1;	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:8115:12992;size=1;	1	0	1	1	2	1732	1305	1	6	4	1	6	2	2	21	1
M02144:85:000000000-B48VY:1:1104:8754:13699;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0
M02144:85:000000000-B48VY:1:1104:9064:11600;size=1;	0	0	0	62	14	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1104:9506:5402;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
M02144:85:000000000-B48VY:1:1104:9742:14816;size=1;	0	0	0	0	1	394	110	1	3	0	0	2	0	2	0	0
M02144:85:000000000-B48VY:1:1105:10014:5923;size=1;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1105:10083:6798;size=7;	0	5	0	3	5	28	13	65	14	0	0	512	0	0	159	0
