	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1101:20584:8399;size=1;	0	0	0	0	1	0	0	1090	1141	1	1	1	16	2	0	1
M02144:85:000000000-B48VY:1:1101:20731:19341;size=1;	0	0	0	0	5	0	0	0	0	0	0	4	4	46	0	0
M02144:85:000000000-B48VY:1:1101:20829:8639;size=1;	0	0	0	0	0	0	0	56	33	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1101:21327:20587;size=1;	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:21553:19719;size=1;	0	0	0	57	12	0	0	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1101:21684:12741;size=1;	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:21711:19293;size=1;	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	0
M02144:85:000000000-B48VY:1:1101:22196:6876;size=1;	0	0	0	0	0	0	0	6	9	0	0	1	59	110	0	0
M02144:85:000000000-B48VY:1:1101:22951:8609;size=1;	0	0	0	0	0	0	0	0	0	0	0	1	36	150	0	0
M02144:85:000000000-B48VY:1:1101:22993:2530;size=1;	0	0	0	0	0	0	0	0	0	78	0	9	1	0	0	0
M02144:85:000000000-B48VY:1:1101:23232:11707;size=1;	0	0	0	0	0	0	0	14	23	0	0	0	1	3	0	0
M02144:85:000000000-B48VY:1:1101:23498:14624;size=1;	0	0	0	0	0	0	0	6	0	0	0	0	3	1	0	0
M02144:85:000000000-B48VY:1:1101:24034:9545;size=1;	0	0	0	32	40	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:24188:9233;size=1;	0	0	0	165	121	0	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:24471:11632;size=1;	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:24522:11223;size=2;	0	0	0	0	0	0	0	0	1	87	407	51	0	0	0	0
M02144:85:000000000-B48VY:1:1101:24643:16731;size=1;	0	0	0	1	0	1	0	766	475	0	0	8	1398	7	0	0
M02144:85:000000000-B48VY:1:1101:24928:20942;size=2;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	222	0
M02144:85:000000000-B48VY:1:1101:26551:14805;size=1;	0	0	0	9	7	11	0	139	77	2	0	47	2	0	0	0
M02144:85:000000000-B48VY:1:1101:26718:21328;size=1;	0	0	0	0	0	68	48	0	1	1	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:1101:2720:15266;size=1;	838	1154	3204	45	16	127	0	13	3	6	0	74	0	0	20	2
M02144:85:000000000-B48VY:1:1101:27258:8259;size=1;	0	0	0	1002	384	1	1	1	1	1	0	0	0	1	0	1
M02144:85:000000000-B48VY:1:1101:27296:16469;size=1;	154	13	680	38	25	24733	14701	4	12	199	85	1080	10	6	12146	5
M02144:85:000000000-B48VY:1:1101:27347:17749;size=1;	0	0	0	4	9	7	1	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:27437:20752;size=1;	0	0	0	0	0	52	71	0	0	0	0	3	1	0	0	0
M02144:85:000000000-B48VY:1:1101:27514:16899;size=1;	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:27908:15621;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0
M02144:85:000000000-B48VY:1:1101:28746:9429;size=1;	0	0	0	1	0	0	0	0	0	43	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:4141:17753;size=1;	0	0	0	0	3	1	0	0	0	101	1539	13	0	0	1	1
M02144:85:000000000-B48VY:1:1101:5538:12600;size=1;	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:5667:8299;size=1;	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:5720:12585;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
M02144:85:000000000-B48VY:1:1101:6307:11227;size=1;	1	0	0	0	0	0	0	16	17	0	0	0	2	15	0	0
M02144:85:000000000-B48VY:1:1101:6826:20575;size=1;	0	0	0	17	28	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:6878:23031;size=1;	0	0	0	227	340	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:7620:15017;size=1;	0	0	0	0	0	0	0	12	8	0	0	0	24	1	0	0
M02144:85:000000000-B48VY:1:1101:7722:19495;size=1;	0	0	0	0	0	0	0	68	59	0	0	0	6	8	0	0
M02144:85:000000000-B48VY:1:1101:7829:15067;size=1;	0	0	0	0	2	0	0	1	0	0	9	3	21	179	0	1
M02144:85:000000000-B48VY:1:1101:8518:12554;size=1;	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:8607:19962;size=1;	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:9460:13184;size=1;	0	0	0	2	6	67	85	2	0	8	160	2782	4	18	0	0
M02144:85:000000000-B48VY:1:1101:9470:2479;size=1;	0	0	0	0	0	1	0	359	264	0	0	1	268	5	0	0
M02144:85:000000000-B48VY:1:1101:9599:17399;size=1;	0	0	0	31	33	0	0	26	7	0	0	1	127	162	0	0
M02144:85:000000000-B48VY:1:1101:9802:12778;size=1;	0	0	0	0	0	32	19	0	0	11	1	4	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10271:3775;size=1;	1	1	0	0	0	164	117	1	0	0	0	0	0	0	8	0
M02144:85:000000000-B48VY:1:1102:10342:4762;size=1;	0	0	0	0	0	0	0	7	0	0	0	2	65	60	0	0
