	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1112:14950:7640;size=1;	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:14987:18056;size=1;	0	0	0	162	110	0	0	0	0	0	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1112:15400:22201;size=1;	0	0	0	0	0	0	0	36	21	0	0	0	17	0	0	0
M02144:85:000000000-B48VY:1:1112:15558:18695;size=1;	0	0	0	75	72	0	0	1	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:15575:21272;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1112:15827:16064;size=1;	0	0	0	0	0	2	2	0	0	0	0	74	0	0	0	0
M02144:85:000000000-B48VY:1:1112:16074:12776;size=1;	0	0	0	0	0	0	0	7	3	0	0	0	13	0	0	0
M02144:85:000000000-B48VY:1:1112:16175:22083;size=1;	0	0	0	0	0	0	0	5	4	0	0	0	17	2	0	0
M02144:85:000000000-B48VY:1:1112:16224:12645;size=1;	300	525	2480	49	14	80	1	22	19	9	1	47	0	1	210	0
M02144:85:000000000-B48VY:1:1112:16592:9823;size=1;	0	0	0	0	0	0	0	2	2	0	1	0	31	52	0	0
M02144:85:000000000-B48VY:1:1112:16614:7947;size=3;	0	1	45	130	133	4	1	51	16	1	0	13	296	1077	5	1
M02144:85:000000000-B48VY:1:1112:16746:21695;size=1;	0	0	0	406	548	3	1	1	0	632	3126	901	1	2	1	14
M02144:85:000000000-B48VY:1:1112:16851:11003;size=1;	0	0	0	0	0	0	0	0	0	0	27	0	0	0	1	0
M02144:85:000000000-B48VY:1:1112:16942:17769;size=1;	0	0	0	5	0	1	0	1	0	151	1	33	0	0	0	0
M02144:85:000000000-B48VY:1:1112:16942:17866;size=1;	0	0	0	0	0	39	12	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:17167:10902;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:17198:20813;size=1;	0	0	0	62	12	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:17390:12385;size=1;	0	0	0	0	1	0	0	79	51	0	0	1	112	1	0	0
M02144:85:000000000-B48VY:1:1112:17433:7151;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
M02144:85:000000000-B48VY:1:1112:17500:14461;size=1;	0	0	0	6	6	0	0	0	1	1373	105	158	0	0	0	0
M02144:85:000000000-B48VY:1:1112:17533:9475;size=1;	0	0	0	0	0	0	0	0	0	51	3	34	0	0	1	0
M02144:85:000000000-B48VY:1:1112:17679:19760;size=1;	0	0	0	0	0	0	0	7	3	0	0	0	9	5	0	0
M02144:85:000000000-B48VY:1:1112:18097:6815;size=1;	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
M02144:85:000000000-B48VY:1:1112:18597:17776;size=1;	0	0	0	0	2	17	14	0	0	83	9	137	0	0	0	0
M02144:85:000000000-B48VY:1:1112:18763:20083;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	18	2	0	0
M02144:85:000000000-B48VY:1:1112:19648:18937;size=1;	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:19858:17598;size=1;	0	0	0	0	0	0	0	0	0	0	1	0	3	16	0	0
M02144:85:000000000-B48VY:1:1112:20366:11169;size=1;	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:20452:14704;size=1;	5	3	1	5	10	3144	2289	3	4	4	1	234	6	9	7	2
M02144:85:000000000-B48VY:1:1112:20585:4280;size=1;	0	0	0	0	0	0	0	286	160	1	1	3	420	23	0	0
M02144:85:000000000-B48VY:1:1112:20696:23537;size=1;	1	0	0	0	1	210	38	0	0	0	0	2138	2	1	0	0
M02144:85:000000000-B48VY:1:1112:20791:23351;size=9;	0	0	0	0	0	0	0	3	2	0	9	489	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21015:6580;size=1;	0	0	0	34	21	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21098:6862;size=1;	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21324:12497;size=1;	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1112:21330:22179;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	3	72	0	0
M02144:85:000000000-B48VY:1:1112:21378:2398;size=1;	0	0	0	23	14	0	0	2	0	299	14	6	0	2	0	1
M02144:85:000000000-B48VY:1:1112:21394:15016;size=1;	0	0	0	0	0	21	8	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21564:22364;size=1;	0	0	0	21	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21856:8932;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:21957:7586;size=1;	0	0	0	53	25	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:22282:4811;size=1;	1	0	1	974	844	0	0	3	0	0	2	1	2	0	1	2376
M02144:85:000000000-B48VY:1:1112:22851:18151;size=1;	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23011:11890;size=1;	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23027:6608;size=1;	0	0	0	106	98	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23332:11003;size=1;	0	0	0	6	3	0	0	0	0	6	57	4	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23702:17062;size=1;	0	0	0	0	0	55	40	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23792:21434;size=1;	0	0	0	0	0	11	2	4	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1112:23896:7737;size=1;	0	0	0	1	0	1	0	0	1	426	195	380	0	0	0	0
M02144:85:000000000-B48VY:1:1112:24092:19281;size=1;	0	0	0	0	0	0	0	118	91	0	0	0	100	0	0	0
M02144:85:000000000-B48VY:1:1112:24143:18004;size=1;	2	10	0	1	0	0	0	3	2	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:24294:5965;size=1;	0	0	0	0	0	0	0	1	1	0	0	0	38	22	0	0
M02144:85:000000000-B48VY:1:1112:24573:9161;size=1;	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:24915:16592;size=1;	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:25058:5824;size=1;	0	0	0	0	0	286	211	0	0	1	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1112:25485:7625;size=1;	0	1	0	0	0	0	0	1	0	1108	11	240	0	1	0	0
M02144:85:000000000-B48VY:1:1112:25663:4857;size=1;	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:26083:14746;size=2;	0	1	3	0	0	1	0	869	589	0	3	4	777	26	2	0
M02144:85:000000000-B48VY:1:1112:26557:12785;size=1;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:26627:15342;size=1;	0	0	0	0	0	0	0	106	95	0	0	1	106	3	2	0
M02144:85:000000000-B48VY:1:1112:26631:18133;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	35	39	0	0
M02144:85:000000000-B48VY:1:1112:26697:16124;size=1;	0	0	0	0	0	0	0	24	22	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:26803:16403;size=1;	0	0	1	3	2	7	3	0	0	0	0	2	5	24	0	0
M02144:85:000000000-B48VY:1:1112:26873:13258;size=1;	0	0	0	0	0	0	0	0	0	29	0	3	0	0	0	0
M02144:85:000000000-B48VY:1:1112:26987:13558;size=1;	0	0	0	0	0	0	0	50	38	0	0	1	215	53	0	0
M02144:85:000000000-B48VY:1:1112:27030:10236;size=1;	0	0	0	0	0	0	0	14	5	0	0	0	54	36	0	0
M02144:85:000000000-B48VY:1:1112:29367:13721;size=1;	0	0	0	55	49	0	0	0	0	3	0	0	0	0	0	36
M02144:85:000000000-B48VY:1:1112:29412:11614;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:6009:3302;size=1;	0	0	0	103	70	0	0	0	0	0	0	1	0	0	1	0
M02144:85:000000000-B48VY:1:1112:6940:14857;size=1;	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:7174:17821;size=1;	0	0	0	0	0	48	34	0	0	14	0	3	0	0	0	0
M02144:85:000000000-B48VY:1:1112:7211:23730;size=1;	0	0	0	1	1	0	0	55	21	0	0	15	15	220	2	0
M02144:85:000000000-B48VY:1:1112:7264:2435;size=1;	0	0	0	59	83	0	0	2	1	17	3	2	1	0	0	5
M02144:85:000000000-B48VY:1:1112:7608:15717;size=1;	0	0	0	222	117	1	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:8158:18107;size=1;	0	0	0	0	0	0	0	8	1	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1112:8274:12300;size=1;	1	54	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1112:8613:10010;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	8	26	0	1
M02144:85:000000000-B48VY:1:1112:8778:10336;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1112:8799:20681;size=1;	0	0	0	0	0	32	17	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1112:8833:4251;size=1;	0	0	0	39	9	0	0	0	0	1	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1112:9310:8348;size=1;	1	1	21	0	3	347	361	1	1	17	2	137	1	0	5901	51
M02144:85:000000000-B48VY:1:1112:9600:6361;size=1;	0	0	0	0	0	0	0	59	48	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1112:9949:19081;size=1;	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
M02144:85:000000000-B48VY:1:1113:10453:13385;size=1;	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:10666:9754;size=1;	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:10677:3892;size=1;	0	0	1	0	0	1	0	0	0	0	4	99	0	0	0	0
M02144:85:000000000-B48VY:1:1113:10704:20916;size=1;	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:10778:15101;size=1;	0	0	0	0	0	0	0	71	45	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:11000:16483;size=1;	0	0	0	0	0	72	1	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:1113:11080:7377;size=1;	0	0	0	0	1	0	0	3	1	1	1	1	3	20	0	0
M02144:85:000000000-B48VY:1:1113:11347:19870;size=1;	0	0	0	37	22	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:11769:16059;size=1;	0	0	0	0	0	0	0	128	27	0	0	0	13	0	0	0
M02144:85:000000000-B48VY:1:1113:12100:19269;size=1;	0	0	0	0	0	0	0	0	0	59	4	20	0	0	0	0
M02144:85:000000000-B48VY:1:1113:12814:5095;size=1;	0	0	0	0	0	114	58	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:13270:15459;size=1;	0	0	0	62	36	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:13382:16099;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:13979:6467;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	7	16	0	0
M02144:85:000000000-B48VY:1:1113:14057:19109;size=1;	0	0	0	320	307	1	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:14391:20729;size=1;	0	0	0	275	125	0	0	0	0	1	78	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:14665:20831;size=2;	0	0	0	513	180	0	1	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:14850:17267;size=1;	0	0	0	97	104	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:14950:21302;size=1;	0	0	0	0	0	0	0	0	0	5	23	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:15169:14738;size=1;	0	0	0	7	3	0	0	0	1	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:15322:3275;size=1;	0	0	0	0	0	0	0	23	16	0	0	0	10	13	0	0
M02144:85:000000000-B48VY:1:1113:15368:11251;size=1;	0	0	0	7	3	192	173	0	0	64	15	206	2	0	1	0
M02144:85:000000000-B48VY:1:1113:15486:21890;size=1;	0	0	0	0	1	1	0	0	0	537	0	18	0	0	0	0
M02144:85:000000000-B48VY:1:1113:15597:17783;size=1;	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1113:15833:15966;size=1;	0	0	0	0	0	0	0	0	0	109	62	8	0	0	0	0
M02144:85:000000000-B48VY:1:1113:16180:10191;size=1;	0	0	0	0	0	24	41	0	0	0	0	0	0	2	0	0
M02144:85:000000000-B48VY:1:1113:16348:8836;size=1;	0	0	0	0	0	0	0	0	0	128	2	16	0	0	0	0
M02144:85:000000000-B48VY:1:1113:16563:16317;size=1;	0	0	0	1	0	0	0	325	262	0	0	1	341	8	0	0
M02144:85:000000000-B48VY:1:1113:16708:15702;size=1;	0	0	0	0	2	33	53	0	1	0	10	659	1	0	0	0
M02144:85:000000000-B48VY:1:1113:16777:17902;size=1;	0	0	0	0	0	0	0	39	12	0	0	0	58	0	0	0
M02144:85:000000000-B48VY:1:1113:16889:11041;size=1;	0	0	0	0	0	0	0	11	3	0	0	1	259	0	0	0
M02144:85:000000000-B48VY:1:1113:17000:19800;size=1;	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:17100:20678;size=1;	0	0	0	1	0	0	0	34	19	0	0	0	5	0	0	0
M02144:85:000000000-B48VY:1:1113:17378:9807;size=1;	0	0	0	134	16	0	0	0	0	30	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:17461:12869;size=1;	0	0	0	0	3	0	0	0	0	1	0	1	10	59	0	0
M02144:85:000000000-B48VY:1:1113:17576:22665;size=1;	0	0	0	0	0	0	0	0	0	4	8	7	0	0	0	0
M02144:85:000000000-B48VY:1:1113:17772:8167;size=1;	0	0	0	0	0	0	0	33	16	0	0	0	23	0	0	0
M02144:85:000000000-B48VY:1:1113:17925:3756;size=1;	0	0	0	0	0	0	0	2	1	0	0	0	4	18	0	0
M02144:85:000000000-B48VY:1:1113:18165:4295;size=1;	0	0	0	1	0	0	0	324	149	0	0	1	362	0	0	0
M02144:85:000000000-B48VY:1:1113:18364:13627;size=1;	0	0	0	661	1005	0	0	1	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:18433:21687;size=1;	0	0	0	0	1	216	266	0	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:18569:4884;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:18582:20632;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
M02144:85:000000000-B48VY:1:1113:18762:20072;size=2;	0	0	0	118	98	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:18902:8881;size=1;	0	0	0	25	14	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:18948:2424;size=1;	0	0	0	8	0	0	0	0	0	4	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:19022:19183;size=1;	1	3	0	0	0	2	0	190	230	0	0	5	12	44	0	0
M02144:85:000000000-B48VY:1:1113:19712:5669;size=2;	0	1	0	2	4	28	18	2	0	193	25	305	0	0	0	0
M02144:85:000000000-B48VY:1:1113:19887:10929;size=1;	0	0	0	0	0	0	0	58	27	0	0	0	10	0	0	0
M02144:85:000000000-B48VY:1:1113:20662:10520;size=1;	0	0	0	0	0	0	1	0	0	0	0	0	0	35	0	0
M02144:85:000000000-B48VY:1:1113:20765:11636;size=1;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:20879:15553;size=2;	0	0	0	0	0	0	0	0	0	19	27	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:21124:13194;size=1;	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0
M02144:85:000000000-B48VY:1:1113:21465:21854;size=1;	0	0	0	0	0	42	33	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:21585:6299;size=1;	0	0	0	99	43	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:21685:3789;size=1;	0	0	0	0	0	0	0	3	4	0	0	0	0	2	0	0
M02144:85:000000000-B48VY:1:1113:21969:21835;size=1;	0	0	0	0	0	0	0	33	22	0	0	0	122	37	0	0
M02144:85:000000000-B48VY:1:1113:22540:5421;size=1;	0	0	0	174	62	0	0	0	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1113:23077:13813;size=1;	0	1	0	36	21	0	0	5	2	569	98	34	0	0	0	0
M02144:85:000000000-B48VY:1:1113:23405:15693;size=1;	0	0	0	32	18	0	0	0	0	8	5	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:23543:4098;size=1;	0	0	0	0	0	0	0	0	0	41	12	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:23793:14689;size=1;	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:24212:13520;size=1;	0	0	0	61	33	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:24322:4327;size=1;	0	0	0	0	0	0	0	0	1	0	2	0	3	110	0	0
M02144:85:000000000-B48VY:1:1113:24334:12454;size=1;	0	0	0	0	0	0	0	13	3	0	0	0	30	23	0	0
M02144:85:000000000-B48VY:1:1113:24923:16149;size=1;	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25018:7112;size=1;	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25064:13013;size=1;	0	0	0	0	0	1	0	28	23	0	0	0	0	4	0	0
M02144:85:000000000-B48VY:1:1113:25182:14063;size=1;	0	0	0	0	0	0	0	0	0	24	0	19	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25344:14641;size=1;	0	0	0	0	0	51	14	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25421:6938;size=1;	0	0	0	56	30	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25441:21263;size=1;	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:25544:12267;size=1;	0	0	0	0	0	0	0	5	11	0	0	1	4	56	0	0
M02144:85:000000000-B48VY:1:1113:25993:8041;size=1;	0	0	0	0	1	49	48	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:26998:5583;size=1;	0	0	0	1	1	0	0	6	1	0	0	0	73	90	0	0
M02144:85:000000000-B48VY:1:1113:27734:17411;size=1;	0	0	0	0	0	0	0	23	16	0	0	0	2	2	0	0
M02144:85:000000000-B48VY:1:1113:28209:11745;size=1;	0	0	0	21	12	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:28497:9172;size=1;	0	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:28737:8171;size=1;	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:2896:13126;size=1;	169	333	0	0	1	0	0	0	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1113:29315:15630;size=1;	2	0	16	2	0	1	0	2761	2640	1	11	10	1543	262	7	2
M02144:85:000000000-B48VY:1:1113:4280:11810;size=1;	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:4930:19196;size=1;	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:5424:7225;size=1;	0	0	0	144	31	1	0	0	0	2812	4	1012	0	1	0	0
M02144:85:000000000-B48VY:1:1113:5640:20418;size=1;	0	0	0	0	0	0	0	0	0	11	12	1	0	0	0	0
M02144:85:000000000-B48VY:1:1113:6864:7544;size=1;	0	0	0	78	16	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:7173:11246;size=1;	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:7516:9001;size=1;	0	0	0	0	4	0	0	21	0	3	0	14	0	1	0	0
M02144:85:000000000-B48VY:1:1113:7632:20179;size=1;	0	0	0	0	0	0	0	51	58	0	0	2	202	224	0	0
M02144:85:000000000-B48VY:1:1113:7761:19543;size=1;	0	0	0	0	0	0	0	73	68	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:7846:4692;size=1;	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:7924:8188;size=1;	0	0	0	87	35	0	0	4	7	63	5	2	68	220	0	0
M02144:85:000000000-B48VY:1:1113:8217:18393;size=1;	0	0	0	152	44	0	0	0	0	0	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:1113:8271:4954;size=1;	0	0	0	18	1	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:8314:8341;size=1;	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:8601:8468;size=1;	0	0	0	205	74	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:8886:17456;size=1;	0	0	0	0	0	0	0	0	0	30	8	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:8891:11209;size=1;	332	680	380	2	0	6	0	19	7	0	0	5	0	0	2	0
M02144:85:000000000-B48VY:1:1113:8978:12502;size=1;	0	0	0	0	0	0	0	150	62	0	0	0	64	1	0	0
M02144:85:000000000-B48VY:1:1113:9004:14979;size=1;	0	0	0	1	1	0	0	0	0	137	0	26	0	0	0	0
M02144:85:000000000-B48VY:1:1113:9099:9871;size=1;	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:9172:10439;size=6;	0	0	0	0	0	0	0	4	4	0	0	1	291	1	0	0
M02144:85:000000000-B48VY:1:1113:9628:8763;size=1;	0	0	0	0	0	0	0	166	129	0	0	0	13	9	0	0
M02144:85:000000000-B48VY:1:1113:9629:8909;size=2;	0	0	0	0	1	1	0	0	0	13	208	0	0	0	0	0
M02144:85:000000000-B48VY:1:1113:9892:10689;size=1;	0	0	0	23	9	0	0	16	0	97	2	5	0	0	0	0
M02144:85:000000000-B48VY:1:1114:10149:21642;size=1;	0	0	0	0	0	0	0	0	0	61	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:10408:12153;size=1;	0	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:10427:13756;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0
M02144:85:000000000-B48VY:1:1114:10840:3124;size=3;	0	0	0	1	0	0	0	0	0	108	87	23	0	0	1	0
M02144:85:000000000-B48VY:1:1114:10841:8559;size=1;	0	0	0	0	0	0	0	0	0	22	1	2	0	0	0	0
M02144:85:000000000-B48VY:1:1114:11067:9160;size=1;	0	0	0	5	1	0	0	0	0	13	0	4	0	0	0	0
M02144:85:000000000-B48VY:1:1114:12026:14055;size=2;	0	0	0	0	0	0	0	49	12	0	0	0	51	25	0	0
M02144:85:000000000-B48VY:1:1114:12168:6514;size=1;	0	0	0	0	0	0	0	3	5	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1114:12305:19461;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0
M02144:85:000000000-B48VY:1:1114:12397:15305;size=1;	0	0	0	0	0	0	0	8	11	0	0	0	3	18	0	0
M02144:85:000000000-B48VY:1:1114:12521:7712;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	38	2	0	0
M02144:85:000000000-B48VY:1:1114:12612:5923;size=2;	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
M02144:85:000000000-B48VY:1:1114:12673:14752;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0
M02144:85:000000000-B48VY:1:1114:12798:12545;size=1;	10	7	0	0	2	1	0	0	0	0	3	0	0	1	0	0
M02144:85:000000000-B48VY:1:1114:12903:4476;size=1;	1	1	16	74	99	0	0	18	8	1	1	17	144	556	1	1
M02144:85:000000000-B48VY:1:1114:12946:14747;size=1;	0	0	0	0	0	16	4	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:13027:9247;size=1;	0	0	0	36	8	0	0	0	0	2	15	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:13031:7205;size=4;	0	0	0	0	4	0	0	2507	479	0	0	6	2	1	0	0
M02144:85:000000000-B48VY:1:1114:13186:16326;size=1;	0	0	1	1	0	287	337	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:13354:15670;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0
M02144:85:000000000-B48VY:1:1114:13543:7395;size=1;	0	0	0	0	0	208	131	0	0	0	0	0	0	0	2	0
M02144:85:000000000-B48VY:1:1114:13628:4656;size=1;	0	0	0	16	9	0	0	0	0	0	35	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:13844:20957;size=1;	1	0	31	168	221	1	1	54	16	6	1	27	281	1051	10	0
M02144:85:000000000-B48VY:1:1114:14040:1345;size=1;	0	0	0	0	0	19	4	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:14182:22154;size=1;	0	3	0	217	148	1	0	1	0	162	7	83	0	1	0	0
M02144:85:000000000-B48VY:1:1114:14202:3155;size=1;	0	0	0	0	0	0	0	15	15	0	0	0	6	1	0	0
M02144:85:000000000-B48VY:1:1114:14274:8442;size=1;	0	0	0	0	0	15	26	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:14437:2215;size=1;	0	0	0	153	77	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:14729:6757;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1114:14766:7973;size=1;	1	0	0	0	0	0	0	6	7	0	0	0	96	119	0	0
M02144:85:000000000-B48VY:1:1114:14882:21623;size=1;	0	0	0	21	10	0	0	0	0	0	0	0	1	2	0	0
M02144:85:000000000-B48VY:1:1114:15529:10723;size=1;	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0
